file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib
pseudo-real-dblp.xml.00001.1|GC2|1468012600|6291456|3.863792|420116304|6291456|0.660242|684680.000000|104857600|0.652962|1400.005913|400.654129|0.652962
pseudo-real-dblp.xml.00001.1|GC4|1363267316|6291456|2.612895|210330000|6291456|0.243326|613952.000000|104857600|0.585510|1300.113026|200.586319|0.585510
pseudo-real-dblp.xml.00001.1|7zip|0|0|6.767600|0|0|0.134000|168642.000000|104857600|0.160830|0.000000|0.000000|0.160830
pseudo-real-dblp.xml.00001.1|GCIS-ef|544874514|6291456|3.929000|644483560|6291456|0.395000|494431.000000|104857600|0.471526|519.632830|614.627419|0.471526
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|1260526428|3528|20.154253|662632|8864|0.597827|1721375.000000|104857600|1.641631|1202.131680|0.631935|1.641631
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|1260526428|3528|20.154253|662632|8864|0.597827|1381281.000000|104857600|1.317292|1202.131680|0.631935|1.317292
pseudo-real-dblp.xml.00001.1|GCX-y8|978733631|6291456|5.041528|317429547|6291456|0.272921|37804763.000000|104857600|36.053432|933.393126|302.724406|36.053432
pseudo-real-dblp.xml.00001.1|GCX-y16|909280834|6291456|4.718299|186076442|6291456|0.177818|11304674.000000|104857600|10.780977|867.157778|177.456324|10.780977
pseudo-real-dblp.xml.00001.1|GCX-y32|887475680|6291456|4.744272|163785068|6291456|0.206948|12314896.000000|104857600|11.744400|846.362762|156.197613|11.744400
pseudo-real-dblp.xml.00001.1|GCX-y64|865641420|6291456|4.469300|132839004|6291456|0.103802|1757636.000000|104857600|1.676212|825.539989|126.685146|1.676212
pseudo-real-dblp.xml.00001.1|GCX-y128|868768724|6291456|4.274944|147816165|6291456|0.122232|22976292.000000|104857600|21.911900|828.522419|140.968480|21.911900
pseudo-real-dblp.xml.00001.1|GC8|1311049280|6291456|2.263191|157976904|6291456|0.145612|689784.000000|104857600|0.657829|1250.314026|150.658516|0.657829
pseudo-real-dblp.xml.00001.1|GC16|1285066768|6291456|2.237607|131861744|6291456|0.102169|788896.000000|104857600|0.752350|1225.535172|125.753159|0.752350
pseudo-real-dblp.xml.00001.1|GC32|1272211344|6291456|2.200887|118955100|6291456|0.085725|988668.000000|104857600|0.942867|1213.275284|113.444424|0.942867
pseudo-real-dblp.xml.00001.1|GC64|1265902832|6291456|2.096416|112667396|6291456|0.078534|1251364.000000|104857600|1.193394|1207.259018|107.448002|1.193394
pseudo-real-dblp.xml.00001.1|GC128|1262744624|6291456|2.049699|109571728|6291456|0.066670|1420000.000000|104857600|1.354218|1204.247116|104.495743|1.354218
pseudo-real-dblp.xml.00001.1|bzip2|7532497|6291456|5.056000|3678617|6291456|1.348600|11505165.000000|104857600|10.972180|7.183549|3.508203|10.972180
pseudo-real-dblp.xml.00001.1|CBT|266944512|0|0.000000|0|0|0.000000|650117.120000|104857600|0.620000|254.578125|0.000000|0.620000
